Angle;Correlation_p0;Correlation_p1;Correlation_p2;Ionization_Calibration_p0;Ionization_Calibration_p1;Ionization_Calibration_p2;Ionization_Resolution_p0;Ionization_Resolution_p1;Ionization_Resolution_p2;Ionization_TriggerEfficiency_p0;Ionization_TriggerEfficiency_p1;Multiplicity;Rotated_Calibration_p0;Rotated_Calibration_p1;Rotated_Calibration_p2;Rotated_Resolution_p0;Rotated_Resolution_p1;Rotated_Resolution_p2;Rotated_TriggerEfficiency_p0;Rotated_TriggerEfficiency_p1;Scintillation_Calibration_p0;Scintillation_Calibration_p1;Scintillation_Calibration_p2;Scintillation_Resolution_p0;Scintillation_Resolution_p1;Scintillation_Resolution_p2;Scintillation_TriggerEfficiency_p0;Scintillation_TriggerEfficiency_p1;TriggerEfficiency_Correlation_p0;WeekIndex;end_time;end_time_sec;start_time;start_time_sec
0.5551;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;87.3529833647;0.974166083787;0.0;1.75774959921;25.5733907315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11;2011-12-02 11:00:00;1322823600;2011-11-25 11:00:00;1322218800
0.5369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;95.2375255938;0.993381805995;0.0;2.04472862472;0.0164173907215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12;2011-12-09 11:00:00;1323428400;2011-12-02 11:00:00;1322823600
0.5551;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;87.3529833647;0.974166083787;0.0;1.75774959921;25.5733907315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12;2011-12-09 11:00:00;1323428400;2011-12-02 11:00:00;1322823600
0.5369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;95.2375255938;0.993381805995;0.0;2.04472862472;0.0164173907215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13;2011-12-16 11:00:00;1324033200;2011-12-09 11:00:00;1323428400
0.5551;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;87.3529833647;0.974166083787;0.0;1.75774959921;25.5733907315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13;2011-12-16 11:00:00;1324033200;2011-12-09 11:00:00;1323428400
0.5369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;95.2375255938;0.993381805995;0.0;2.04472862472;0.0164173907215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14;2011-12-23 11:00:00;1324638000;2011-12-16 11:00:00;1324033200
0.5551;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;87.3529833647;0.974166083787;0.0;1.75774959921;25.5733907315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14;2011-12-23 11:00:00;1324638000;2011-12-16 11:00:00;1324033200
0.5369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;95.2375255938;0.993381805995;0.0;2.04472862472;0.0164173907215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15;2011-12-30 11:00:00;1325242800;2011-12-23 11:00:00;1324638000
0.5551;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;87.3529833647;0.974166083787;0.0;1.75774959921;25.5733907315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15;2011-12-30 11:00:00;1325242800;2011-12-23 11:00:00;1324638000
0.5369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;95.2375255938;0.993381805995;0.0;2.04472862472;0.0164173907215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16;2012-01-06 11:00:00;1325847600;2011-12-30 11:00:00;1325242800
