Angle;Correlation_p0;Correlation_p1;Correlation_p2;Ionization_Calibration_p0;Ionization_Calibration_p1;Ionization_Calibration_p2;Ionization_Resolution_p0;Ionization_Resolution_p1;Ionization_Resolution_p2;Ionization_TriggerEfficiency_p0;Ionization_TriggerEfficiency_p1;Multiplicity;Rotated_Calibration_p0;Rotated_Calibration_p1;Rotated_Calibration_p2;Rotated_Resolution_p0;Rotated_Resolution_p1;Rotated_Resolution_p2;Rotated_TriggerEfficiency_p0;Rotated_TriggerEfficiency_p1;Scintillation_Calibration_p0;Scintillation_Calibration_p1;Scintillation_Calibration_p2;Scintillation_Resolution_p0;Scintillation_Resolution_p1;Scintillation_Resolution_p2;Scintillation_TriggerEfficiency_p0;Scintillation_TriggerEfficiency_p1;TriggerEfficiency_Correlation_p0;WeekIndex;end_time;end_time_sec;start_time;start_time_sec
0.219476;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;-0.508131284307;0.630221204892;0.0;0.506554033937;17.5015874808;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;107;2013-10-04 11:00:00;1380884400;2013-09-27 11:00:00;1380279600
0.235179;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;-1.89744418505;0.618126134859;0.0;0.511472360342;18.2851968123;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;108;2013-10-11 11:00:00;1381489200;2013-10-04 11:00:00;1380884400
0.219476;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;-0.508131284307;0.630221204892;0.0;0.506554033937;17.5015874808;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;108;2013-10-11 11:00:00;1381489200;2013-10-04 11:00:00;1380884400
0.235179;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;-1.89744418505;0.618126134859;0.0;0.511472360342;18.2851968123;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;109;2013-10-18 11:00:00;1382094000;2013-10-11 11:00:00;1381489200
0.219476;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;-0.508131284307;0.630221204892;0.0;0.506554033937;17.5015874808;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;109;2013-10-18 11:00:00;1382094000;2013-10-11 11:00:00;1381489200
0.235179;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;-1.89744418505;0.618126134859;0.0;0.511472360342;18.2851968123;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110;2013-10-25 11:00:00;1382698800;2013-10-18 11:00:00;1382094000
0.219476;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;-0.508131284307;0.630221204892;0.0;0.506554033937;17.5015874808;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110;2013-10-25 11:00:00;1382698800;2013-10-18 11:00:00;1382094000
0.235179;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;-1.89744418505;0.618126134859;0.0;0.511472360342;18.2851968123;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;111;2013-11-01 11:00:00;1383303600;2013-10-25 11:00:00;1382698800
0.219476;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;-0.508131284307;0.630221204892;0.0;0.506554033937;17.5015874808;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;111;2013-11-01 11:00:00;1383303600;2013-10-25 11:00:00;1382698800
0.235179;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;-1.89744418505;0.618126134859;0.0;0.511472360342;18.2851968123;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;112;2013-11-08 11:00:00;1383908400;2013-11-01 11:00:00;1383303600
